problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,0,0,32x1,3.445,3.445,-4.775,2.032,0,0.9999964833259583
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,0,0.999755859375
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,1,0.021571084856987
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,2,0.004686828702688217
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,3,6.901177403051406e-05
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,4,3.231688765481522e-07
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,5,1.3543220234168984e-07
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,6,1.002560949814324e-07
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,7,9.154609159622851e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,8,8.183636168723751e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,9,6.427281817877883e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,10,6.076216152450797e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,11,5.5093416051477107e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,12,3.6309430129222164e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,13,3.32303216055152e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,14,2.725331427200217e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,15,2.4471786375102056e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,16,2.2431020596513918e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,17,1.8964646741892466e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,18,1.5676521414320632e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,19,1.2364650636698116e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,20,1.1983427583572848e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,21,9.773812870150778e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,22,6.947578512495056e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,23,5.672331049311197e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,24,4.5784238622559315e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,25,3.370546508563166e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,26,1.9602635070725682e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,27,1.6507684108546528e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,28,9.581160309579673e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,29,3.8474837205093593e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,30,3.0178456955631816e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,31,2.6100685848740035e-11
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,0,0.9999871253967285
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,1,0.0045447866432368755
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,2,0.001901026931591332
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,3,2.3887530915089883e-05
