problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,n_sv,sv_min,sv_p10,sv_median,sv_p90,sv_max,top_energy_frac,effective_rank,participation_rank,tiny_frac
low_frequency,Jordan Muon,jordan_muon,0,987,0,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999964833259583,0.9999964833259583,0.9999964833259583,0.9999964833259583,0.9999964833259583,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,0,1,32x32,3.445,3.445,-4.775,2.032,32,2.6100685848740035e-11,1.027381268947636e-09,2.3451403485807987e-08,6.214291351511761e-05,0.999755859375,0.9995127167145451,1.0043023437672447,1.0009750619476696,0.90625
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,32,3.777208407163002e-11,9.56060280943305e-10,2.1266134631048317e-08,2.1509492945170956e-05,0.9999871253967285,0.9999757304044007,1.0002924271241898,1.0000485405185588,0.90625
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,32,2.1679365247440074e-10,1.993311338210901e-09,2.4507005313978425e-08,8.300629515645161e-06,0.9999961256980896,0.9999938093133502,1.0000810058151406,1.000012381451338,0.9375
low_frequency,Jordan Muon,jordan_muon,0,987,0,4,1x32,3.445,3.445,-4.775,2.032,1,0.999999463558197,0.999999463558197,0.999999463558197,0.999999463558197,0.999999463558197,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,25,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999969601631165,0.9999969601631165,0.9999969601631165,0.9999969601631165,0.9999969601631165,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,32,8.698948228413883e-10,8.479515223314138e-09,2.832902126215231e-07,0.002455736015690495,0.9546831846237183,0.9114218205099343,1.3546980486237514,1.1927408925953478,0.875
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,32,2.6629873861594433e-09,1.2679379413071957e-08,1.0755579467058851e-06,0.007862916798330857,0.9602221846580505,0.9220297160242672,1.3362012347793295,1.1687270258284925,0.84375
low_frequency,Jordan Muon,jordan_muon,0,987,25,3,32x32,3.445,3.445,-4.775,2.032,32,4.792205521297888e-10,1.1657051146585218e-08,5.893124068734323e-07,0.0057170112326275675,0.9972009062767029,0.9944130239868765,1.0388681022040034,1.0112497713184172,0.875
low_frequency,Jordan Muon,jordan_muon,0,987,25,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,100,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999991059303284,0.9999991059303284,0.9999991059303284,0.9999991059303284,0.9999991059303284,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,32,8.356987324376064e-10,1.8763246245612208e-08,1.7163191614599782e-06,0.0020216934557538506,0.8912478685379028,0.7943232402793496,1.7075768625385979,1.4905676565509767,0.875
low_frequency,Jordan Muon,jordan_muon,0,987,100,2,32x32,3.445,3.445,-4.775,2.032,32,6.596015289517254e-09,8.844362966442532e-08,1.3318626315594884e-05,0.008394279424101125,0.9007022976875305,0.8112652769180603,1.7403800240126355,1.4571347480975922,0.8125
low_frequency,Jordan Muon,jordan_muon,0,987,100,3,32x32,3.445,3.445,-4.775,2.032,32,4.59368143523875e-09,8.69029719297032e-08,9.33732826524647e-06,0.020135223842226012,0.9523217678070068,0.9069177782646267,1.4171425766707904,1.2060919492789444,0.8125
low_frequency,Jordan Muon,jordan_muon,0,987,100,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,250,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.9999982118606567,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,250,1,32x32,3.445,3.445,-4.775,2.032,32,3.923924740689699e-09,1.9930164008030716e-08,1.015365825196568e-06,0.00662975013256074,0.8502097725868225,0.7228575826448557,1.8278092548754177,1.6718294823487745,0.84375
